Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
Graduate,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,663,57,1617,Alone,0,1,0
Graduate,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,113,60,27,Alone,2,3,1
Graduate,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,312,49,776,Partner,0,2,0
Graduate,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,139,30,53,Partner,1,3,1
Postgraduate,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,161,33,422,Partner,1,3,1
Postgraduate,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,293,47,716,Partner,1,3,1
Graduate,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,593,43,590,Alone,1,2,1
Postgraduate,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,417,29,169,Partner,1,3,1
Postgraduate,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,388,40,46,Partner,1,3,1
Postgraduate,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,108,64,49,Partner,2,4,1
Undergraduate,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,593,38,61,Partner,0,2,0
Graduate,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,226,55,1102,Alone,0,1,0
Postgraduate,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,226,62,310,Alone,2,3,1
Graduate,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,627,27,46,Partner,0,2,0
Postgraduate,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,582,68,1315,Alone,0,1,0
Graduate,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,552,34,96,Partner,2,4,1
Graduate,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,667,68,317,Partner,0,2,0
Postgraduate,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,458,65,1782,Partner,1,3,1
Undergraduate,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,603,29,133,Alone,1,2,1
Graduate,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,690,32,316,Partner,0,2,0
Graduate,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,539,35,1730,Partner,1,3,1
Postgraduate,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,553,65,972,Partner,1,3,1
Postgraduate,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,169,60,544,Partner,1,3,1
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,468,63,444,Partner,1,3,1
Graduate,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,543,45,75,Alone,0,1,0
Graduate,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,398,38,257,Partner,2,4,1
Graduate,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,394,25,131,Partner,1,3,1
Postgraduate,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,219,49,1672,Partner,0,2,0
Postgraduate,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,38,25,30,Alone,0,1,0
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,414,51,318,Partner,0,2,0
Graduate,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,627,44,120,Partner,1,3,1
Postgraduate,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,608,62,302,Alone,2,3,1
Postgraduate,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,494,68,1196,Partner,0,2,0
Postgraduate,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,304,63,65,Alone,2,3,1
Postgraduate,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,180,44,913,Partner,1,3,1
Undergraduate,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,300,38,81,Partner,1,3,1
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,138,41,67,Alone,1,2,1
Postgraduate,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,513,71,902,Alone,0,1,0
Graduate,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,426,34,1395,Partner,1,3,1
Postgraduate,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,474,29,53,Partner,1,3,1
Graduate,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,552,57,22,Partner,1,3,1
Postgraduate,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,270,39,31,Partner,1,3,1
Graduate,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,1,38,984,Alone,0,1,0
Undergraduate,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,597,18,122,Partner,0,2,0
Graduate,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,401,46,55,Partner,1,3,1
Postgraduate,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,598,60,1319,Partner,2,4,1
Graduate,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,48,57,507,Alone,1,2,1
Postgraduate,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,687,50,1693,Partner,0,2,0
Graduate,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,543,37,72,Alone,1,2,1
Graduate,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,22,37,1617,Alone,0,1,0
Graduate,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,382,36,606,Partner,2,4,1
Postgraduate,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,587,59,1957,Partner,0,2,0
